"Time","Region Code","Region","Number of dwellings【number of dwelling units】","Annotation"
"1998","37000","Kagawa-ken","405300",""
"1998","38000","Ehime-ken","621300",""
"1998","39000","Kochi-ken","347200",""
"1998","40000","Fukuoka-ken","2008700",""
"1998","41000","Saga-ken","299900",""
"1998","42000","Nagasaki-ken","586000",""
"1998","43000","Kumamoto-ken","687400",""
"1998","44000","Oita-ken","495600",""
"1998","45000","Miyazaki-ken","473700",""
"1998","46000","Kagoshima-ken","781600",""
"1998","47000","Okinawa-ken","470500",""
"2003","01000","Hokkaido","2572200",""
"2003","02000","Aomori-ken","559200",""
"2003","03000","Iwate-ken","527900",""
"2003","04000","Miyagi-ken","942300",""
"2003","05000","Akita-ken","428600",""
"2003","06000","Yamagata-ken","415000",""
"2003","07000","Fukushima-ken","781800",""
"2003","08000","Ibaraki-ken","1135900",""
"2003","09000","Tochigi-ken","769700",""
"2003","10000","Gumma-ken","798700",""
"2003","11000","Saitama-ken","2826600",""
"2003","12000","Chiba-ken","2526200",""
"2003","13000","Tokyo-to","6186000",""
"2003","14000","Kanagawa-ken","3752000",""
"2003","15000","Niigata-ken","888000",""
"2003","16000","Toyama-ken","407700",""
"2003","17000","Ishikawa-ken","470500",""
"2003","18000","Fukui-ken","293000",""
"2003","19000","Yamanashi-ken","380300",""
"2003","20000","Nagano-ken","890800",""
"2003","21000","Gifu-ken","782900",""
"2003","22000","Shizuoka-ken","1487300",""
"2003","23000","Aichi-ken","2898800",""
"2003","24000","Mie-ken","738700",""
"2003","25000","Shiga-ken","504100",""
"2003","26000","Kyoto-fu","1201100",""
"2003","27000","Osaka-fu","4130800",""
"2003","28000","Hyogo-ken","2380400",""
"2003","29000","Nara-ken","562200",""
"2003","30000","Wakayama-ken","459000",""
"2003","31000","Tottori-ken","231300",""
"2003","32000","Shimane-ken","283500",""
"2003","33000","Okayama-ken","803700",""
"2003","34000","Hiroshima-ken","1271800",""
"2003","35000","Yamaguchi-ken","654600",""
"2003","36000","Tokushima-ken","336300",""
"2003","37000","Kagawa-ken","421100",""
"2003","38000","Ehime-ken","650100",""
"2003","39000","Kochi-ken","373500",""
"2003","40000","Fukuoka-ken","2194500",""
"2003","41000","Saga-ken","303400",""
"2003","42000","Nagasaki-ken","603400",""
"2003","43000","Kumamoto-ken","729700",""
"2003","44000","Oita-ken","516500",""
"2003","45000","Miyazaki-ken","490400",""
"2003","46000","Kagoshima-ken","809700",""
"2003","47000","Okinawa-ken","519700",""
"2008","01000","Hokkaido","2730500",""
"2008","02000","Aomori-ken","580800",""
"2008","03000","Iwate-ken","549500",""
"2008","04000","Miyagi-ken","1013900",""
"2008","05000","Akita-ken","437400",""
"2008","06000","Yamagata-ken","432700",""
"2008","07000","Fukushima-ken","808200",""
"2008","08000","Ibaraki-ken","1223800",""
"2008","09000","Tochigi-ken","839900",""
"2008","10000","Gumma-ken","855800",""
"2008","11000","Saitama-ken","3029000",""
"2008","12000","Chiba-ken","2717700",""
"2008","13000","Tokyo-to","6780500",""
"2008","14000","Kanagawa-ken","4067800",""
"2008","15000","Niigata-ken","929700",""
"2008","16000","Toyama-ken","424300",""
"2008","17000","Ishikawa-ken","498000",""
"2008","18000","Fukui-ken","308700",""
"2008","19000","Yamanashi-ken","398300",""
"2008","20000","Nagano-ken","946300",""
"2008","21000","Gifu-ken","835700",""
"2008","22000","Shizuoka-ken","1597900",""
"2008","23000","Aichi-ken","3132900",""
"2008","24000","Mie-ken","791000",""
"2008","25000","Shiga-ken","567600",""
"2008","26000","Kyoto-fu","1270200",""
"2008","27000","Osaka-fu","4346000",""
"2008","28000","Hyogo-ken","2520700",""
"2008","29000","Nara-ken","592600",""
"2008","30000","Wakayama-ken","467900",""
"2008","31000","Tottori-ken","247200",""
"2008","32000","Shimane-ken","295800",""
"2008","33000","Okayama-ken","866600",""
"2008","34000","Hiroshima-ken","1356200",""
"2008","35000","Yamaguchi-ken","691600",""
"2008","36000","Tokushima-ken","355600",""
"2008","37000","Kagawa-ken","446400",""
"2008","38000","Ehime-ken","681100",""
"2008","39000","Kochi-ken","377700",""
"2008","40000","Fukuoka-ken","2374800",""
"2008","41000","Saga-ken","322900",""
"2008","42000","Nagasaki-ken","631100",""
"2008","43000","Kumamoto-ken","769500",""
"2008","44000","Oita-ken","546500",""
"2008","45000","Miyazaki-ken","509600",""
"2008","46000","Kagoshima-ken","851300",""
"2008","47000","Okinawa-ken","566500",""
"2013","01000","Hokkaido","2746600",""
"2013","02000","Aomori-ken","586300",""
"2013","03000","Iwate-ken","552100",""
"2013","04000","Miyagi-ken","1034100",""
"2013","05000","Akita-ken","446900",""
"2013","06000","Yamagata-ken","431900",""
"2013","07000","Fukushima-ken","782300",""
"2013","08000","Ibaraki-ken","1268200",""
"2013","09000","Tochigi-ken","879000",""
"2013","10000","Gumma-ken","902900",""
"2013","11000","Saitama-ken","3266300",""
"2013","12000","Chiba-ken","2896200",""
"2013","13000","Tokyo-to","7359400",""
"2013","14000","Kanagawa-ken","4350800",""
"2013","15000","Niigata-ken","972300",""
"2013","16000","Toyama-ken","439000",""
"2013","17000","Ishikawa-ken","520400",""
"2013","18000","Fukui-ken","309600",""
"2013","19000","Yamanashi-ken","422100",""
"2013","20000","Nagano-ken","982200",""
"2013","21000","Gifu-ken","878400",""
"2013","22000","Shizuoka-ken","1659300",""
"2013","23000","Aichi-ken","3439000",""
"2013","24000","Mie-ken","831200",""
"2013","25000","Shiga-ken","602500",""
"2013","26000","Kyoto-fu","1320300",""
"2013","27000","Osaka-fu","4586000",""
"2013","28000","Hyogo-ken","2733700",""
"2013","29000","Nara-ken","615000",""
"2013","30000","Wakayama-ken","475900",""
"2013","31000","Tottori-ken","250100",""
"2013","32000","Shimane-ken","304200",""
"2013","33000","Okayama-ken","885300",""
"2013","34000","Hiroshima-ken","1393500",""
"2013","35000","Yamaguchi-ken","706400",""
"2013","36000","Tokushima-ken","364900",""
"2013","37000","Kagawa-ken","470500",""
"2013","38000","Ehime-ken","705200",""
"2013","39000","Kochi-ken","392400",""
"2013","40000","Fukuoka-ken","2492700",""
"2013","41000","Saga-ken","338200",""
"2013","42000","Nagasaki-ken","660100",""
"2013","43000","Kumamoto-ken","804300",""
"2013","44000","Oita-ken","569500",""
"2013","45000","Miyazaki-ken","533900",""
"2013","46000","Kagoshima-ken","864700",""
"2013","47000","Okinawa-ken","602800",""
"2018","01000","Hokkaido","2807200",""
"2018","02000","Aomori-ken","592400",""
"2018","03000","Iwate-ken","579300",""
"2018","04000","Miyagi-ken","1089300",""
"2018","05000","Akita-ken","445700",""
"2018","06000","Yamagata-ken","449000",""
"2018","07000","Fukushima-ken","861300",""
"2018","08000","Ibaraki-ken","1328900",""
"2018","09000","Tochigi-ken","926700",""
"2018","10000","Gumma-ken","949000",""
"2018","11000","Saitama-ken","3384700",""
"2018","12000","Chiba-ken","3029800",""
"2018","13000","Tokyo-to","7671600",""
"2018","14000","Kanagawa-ken","4503500",""
"2018","15000","Niigata-ken","994500",""
"2018","16000","Toyama-ken","452600",""
"2018","17000","Ishikawa-ken","535800",""
"2018","18000","Fukui-ken","325400",""
"2018","19000","Yamanashi-ken","422000",""
"2018","20000","Nagano-ken","1007900",""
