"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","969534.179","false","8","kg","969534.179","false","969534.179","false","0","false","6809884.114","6119074.377","6809884.114","0","false","true",
"C","A","20220101","2022","52","2022","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","795575","false","8","kg","795575","false","795575","false","0","false","3892989.154",,"3892989.154","0","false","true",
"C","A","20220101","2022","52","2022","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H5","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","68615.315","false","8","kg","68615.315","false","68615.315","false","0","false","495881",,"495881","0","false","true",
"C","A","20220101","2022","52","2022","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","899716.98","false",,"false","0","false","4655862.539",,"4655862.539","0","false","true",
"C","A","20220101","2022","52","2022","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","49735.36","false","8","kg","49735.36","false","49735.36","false","0","false","464288.36","0","464288.36","0","false","true",
"C","A","20220101","2022","52","2022","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H5","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","64213.08","true","-1","N/A","0","false","64213.08","true","0","false","297351",,"297351","6","false","true",
"C","A","20220101","2022","52","2022","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","623623.1","false","8","kg","623623.1","false","623623.1","false","0","false","2459169.87",,"2459169.87","0","false","true",
"C","A","20220101","2022","52","2022","60","BMU","Bermuda","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6227.71","false","8","kg","6227.71","false","6227.71","false","0","false",,"82790.62","82790.62","0","false","true",
"C","A","20220101","2022","52","2022","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","216608.898","true","-1","N/A","0","false","216608.898","true","538200","false","656274","589148","656274","6","false","true",
"C","A","20220101","2022","52","2022","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5773.74","false","8","kg","5773.74","false","5773.74","false","0","false","33915.84",,"33915.84","0","false","true",
"C","A","20220101","2022","52","2022","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","855249.9","false","8","kg","855249.9","false","921244.51","false","0","false","3379166.993",,"3379166.993","0","false","true",
"C","A","20220101","2022","52","2022","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","140683","false","8","kg","140683","false","140683","false","0","false","609084","566216","609084","0","false","true",
"C","A","20220101","2022","52","2022","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H5","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17578.649","false","5","u","1736","false","17578.649","false","0","false","27918.53",,"27918.53","0","false","true",
"C","A","20220101","2022","52","2022","96","BRN","Brunei Darussalam","M","Import","0","W00","World","0","W00","World","H5","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","89445.973","true","8","kg","88388","false","89445.973","true","0","false","973857.477",,"973857.477","6","false","true",
"C","A","20220101","2022","52","2022","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","246259.693","true","-1","N/A","0","false","246259.693","true","0","false","325780.562",,"325780.562","6","false","true",
"C","A","20220101","2022","52","2022","104","MMR","Myanmar","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","580178","false","8","kg","580178","false","580178","false","0","false","3043686",,"3043686","0","false","true",
"C","A","20220101","2022","52","2022","108","BDI","Burundi","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3614.5","false","8","kg","3614.5","false","3614.5","false","0","false","2660.035",,"2660.035","0","false","true",
"C","A","20220101","2022","52","2022","116","KHM","Cambodia","M","Import","0","W00","World","0","W00","World","H6","HS","true","090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80742.64","false","8","kg","80742.64","false","80742.64","false","0","false","249468.44",,"249468.44","0","false","true",
"C","A","20220101","2022","52","2022","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1166938.62","true","8","kg","1166901","false","1166938.62","true","0","false",,"11320221.189","11320221.189","6","false","true",
"C","A","20220101","2022","52","2022","132","CPV","Cabo Verde","M","Import","0","W00","World","0","W00","World","H5","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5259","false","8","kg","5259","false","5259","false","0","false","23135.837",,"23135.837","0","false","true",
"C","A","20220101","2022","52","2022","140","CAF","Central African Rep.","M","Import","0","W00","World","0","W00","World","H5","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22760","false","8","kg","22760","false","22760","false","0","false","57808.446",,"57808.446","0","false","true",
"C","A","20220101","2022","52","2022","144","LKA","Sri Lanka","M","Import","0","W00","World","0","W00","World","H5","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2256705.76","false","8","kg","2256705.76","false","2256705.76","false","0","false","6924261.776","0","6924261.776","0","false","true",
"C","A","20220101","2022","52","2022","152","CHL","Chile","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","505338.658","false","8","kg","505338.658","false","505338.658","false","0","false","2567953.126","2260540.653","2567953.126","0","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7959346.189","true","8","kg","7957020","false","7959346.189","true","0","false","8468521",,"8468521","6","false","true",
"C","A","20220101","2022","52","2022","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","158529.37","false","8","kg","158529.37","false","158529.37","false","0","false","490280.36",,"490280.36","0","false","true",
"C","A","20220101","2022","52","2022","180","COD","Dem. Rep. of the Congo","M","Import","0","W00","World","0","W00","World","H4","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","94288","false","8","kg","94288","false","94288","false","0","false","59257.656",,"59257.656","0","false","true",
"C","A","20220101","2022","52","2022","188","CRI","Costa Rica","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22583.74","false","8","kg","22583.74","false","22583.74","false","0","false","106636.59",,"106636.59","0","false","true",
"C","A","20220101","2022","52","2022","191","HRV","Croatia","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","84880.241","false","8","kg","84880.241","false","84880.241","false","0","false","286227",,"286227","0","false","true",
"C","A","20220101","2022","52","2022","196","CYP","Cyprus","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12691","false","8","kg","12691","false","12691","false","0","false","91917.456",,"91917.456","0","false","true",
"C","A","20220101","2022","52","2022","203","CZE","Czechia","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","335988.609","true","-1","N/A","0","false","335988.609","true","0","false","2885860","2726509","2885860","6","false","true",
"C","A","20220101","2022","52","2022","204","BEN","Benin","M","Import","0","W00","World","0","W00","World","H6","HS","true","090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1410","false","8","kg","1410","false","1410","false","0","false","1128.391",,"1128.391","0","false","true",
