"ID";"Regions";"Periods";"NumberOfMuseums_1";"UpTo2500Visits_2";"Between2500And10000Visits_3";"Between10000And25000Visits_4";"Between25000And50000Visits_5";"Between50000And100000Visits_6";"k_100000AndMoreVisits_7";"TotalVisits_8";"PaidVisits_9";"MuseumCardAndFreeVisits_10";"AverageNumberOfVisitsPerMuseum_11";"ForeignVisits_12";"TotalEmployees_13";"OnPayroll_14";"OtherPaidStaff_15";"TotalFTE_16";"OnPayroll_17";"OtherPaidStaff_18";"NumberOfVolunteers_19";"FTEs_20"
"38";"LD04";"2007JJ00";"     124";"      34";"      34";"      15";"      10";"       5";"       2";"    1912";"    1150";"     762";"      15";"     339";"     853";"     635";"     218";"     545";"     432";"     113";"    3505";"     546"
"39";"LD04";"2009JJ00";"     129";"      35";"      33";"      13";"       9";"       6";"       3";"    2009";"    1166";"     843";"      16";"      64";"     927";"     608";"     319";"     575";"     446";"     129";"    3765";"     544"
"40";"PV20";"1995JJ00";"      36";"      31";"      30";"      28";"       8";"       0";"       3";"     688";"     482";"     206";"      19";"       .";"     215";"     155";"      60";"     159";"     107";"      52";"       .";"       ."
"41";"PV20";"1997JJ00";"      55";"      53";"      24";"      15";"       5";"       2";"       2";"     676";"     423";"     253";"      12";"       .";"     272";"     134";"     138";"     185";"      96";"      89";"       .";"       ."
"42";"PV20";"1999JJ00";"      51";"      53";"      21";"      18";"       4";"       2";"       2";"     570";"     338";"     232";"      11";"      47";"     280";"     183";"      97";"     132";"      88";"      44";"       .";"       ."
"43";"PV20";"2001JJ00";"      53";"      42";"      32";"      19";"       4";"       2";"       2";"     620";"     417";"     203";"      12";"      42";"     360";"     186";"     174";"     200";"     111";"      89";"    1048";"     107"
"44";"PV20";"2003JJ00";"      53";"      38";"      36";"      15";"       8";"       2";"       2";"     662";"     433";"     229";"      12";"     134";"     291";"     175";"     116";"     203";"     129";"      74";"    1228";"     102"
"45";"PV20";"2005JJ00";"      54";"      39";"      37";"      13";"       7";"       2";"       2";"     612";"     432";"     180";"      11";"      66";"     268";"     185";"      83";"     194";"     143";"      51";"    1222";"     185"
"46";"PV20";"2007JJ00";"      50";"      42";"      34";"      12";"       8";"       2";"       2";"     561";"     399";"     161";"      11";"     128";"     312";"     194";"     119";"     192";"     131";"      61";"    1113";"     160"
"47";"PV20";"2009JJ00";"      49";"      41";"      33";"      14";"       8";"       2";"       2";"     665";"     388";"     278";"      14";"      28";"     272";"     171";"     101";"     164";"     129";"      35";"    1215";"     255"
"48";"PV21";"1995JJ00";"      61";"      34";"      33";"      20";"      10";"       3";"       0";"     729";"     538";"     191";"      12";"       .";"     200";"     140";"      60";"     149";"      99";"      50";"       .";"       ."
"49";"PV21";"1997JJ00";"      71";"      37";"      31";"      20";"       8";"       4";"       0";"     782";"     520";"     262";"      11";"       .";"     222";"     152";"      70";"     157";"     103";"      53";"       .";"       ."
"50";"PV21";"1999JJ00";"      72";"      43";"      37";"      10";"       7";"       4";"       0";"     603";"     399";"     204";"       8";"      61";"     221";"     147";"      74";"     142";"      96";"      46";"       .";"       ."
"51";"PV21";"2001JJ00";"      72";"      40";"      29";"      18";"       7";"       6";"       0";"     759";"     542";"     216";"      11";"      67";"     373";"     215";"     158";"     232";"     144";"      87";"    1036";"     111"
"52";"PV21";"2003JJ00";"      61";"      36";"      34";"      15";"      10";"       3";"       2";"     739";"     532";"     206";"      12";"     108";"     352";"     262";"      90";"     186";"     128";"      58";"     848";"      91"
"53";"PV21";"2005JJ00";"      62";"      40";"      31";"      16";"       7";"       5";"       2";"     725";"     527";"     198";"      12";"      91";"     296";"     218";"      79";"     205";"     156";"      49";"    1122";"     109"
"54";"PV21";"2007JJ00";"      62";"      40";"      27";"      18";"       8";"       5";"       2";"     833";"     594";"     240";"      13";"     132";"     300";"     224";"      76";"     209";"     159";"      50";"    1197";"     102"
"55";"PV21";"2009JJ00";"      64";"      38";"      30";"      17";"      13";"       2";"       2";"     867";"     639";"     229";"      14";"      11";"     335";"     228";"     107";"     200";"     147";"      53";"    1450";"     150"
"56";"PV22";"1995JJ00";"      33";"      28";"      37";"      12";"      11";"       6";"       6";"    2286";"     481";"    1805";"      69";"       .";"     125";"      90";"      35";"     107";"      79";"      28";"       .";"       ."
"57";"PV22";"1997JJ00";"      39";"      38";"      33";"      10";"      10";"       8";"       0";"     504";"     362";"     141";"      13";"       .";"     137";"      90";"      47";"     101";"      67";"      34";"       .";"       ."
"58";"PV22";"1999JJ00";"      38";"      24";"      47";"      11";"       5";"      13";"       0";"     605";"     497";"     108";"      16";"      39";"     215";"     159";"      56";"     158";"     119";"      39";"       .";"       ."
"59";"PV22";"2001JJ00";"      35";"      34";"      40";"       6";"      11";"       9";"       0";"     455";"     353";"     102";"      13";"      26";"     178";"     115";"      63";"     110";"      77";"      33";"     801";"     106"
"60";"PV22";"2003JJ00";"      31";"      26";"      39";"      16";"      10";"       7";"       3";"     489";"     363";"     126";"      16";"      41";"     153";"     111";"      42";"      99";"      73";"      26";"     852";"     103"
"61";"PV22";"2005JJ00";"      31";"      26";"      42";"      16";"       7";"       7";"       3";"     545";"     414";"     132";"      18";"      54";"     171";"     136";"      35";"     109";"      87";"      22";"     694";"     115"
