wals code;name;value;description;latitude;longitude;genus;family;area
som;Somali;1;Words derived from Sinitic cha;3;45;Lowland East Cushitic;Afro-Asiatic;Lexicon
snn;Soninke;3;Others;15;-10.5;Western Mande;Mande;Lexicon
spa;Spanish;2;Words derived from Min Nan Chinese te;40;-4;Romance;Indo-European;Lexicon
sra;Sranan;2;Words derived from Min Nan Chinese te;5.833333333;-55.33333333;Creoles and Pidgins;other;Lexicon
sun;Sundanese;2;Words derived from Min Nan Chinese te;-7;107;Malayo-Sumbawan;Austronesian;Lexicon
swa;Swahili;1;Words derived from Sinitic cha;-6.5;39;Bantu;Niger-Congo;Lexicon
swe;Swedish;2;Words derived from Min Nan Chinese te;60;15;Germanic;Indo-European;Lexicon
tag;Tagalog;1;Words derived from Sinitic cha;15;121;Greater Central Philippine;Austronesian;Lexicon
tah;Tahitian;2;Words derived from Min Nan Chinese te;-17.66666667;-149.5833333;Oceanic;Austronesian;Lexicon
taj;Tajik;1;Words derived from Sinitic cha;38.66666667;70;Iranian;Indo-European;Lexicon
tvo;Tatar;1;Words derived from Sinitic cha;56;49.5;Turkic;Altaic;Lexicon
tel;Telugu;2;Words derived from Min Nan Chinese te;16;79;Dravidian;Dravidian;Lexicon
tha;Thai;1;Words derived from Sinitic cha;16;101;Kam-Tai;Tai-Kadai;Lexicon
tib;Tibetan (Standard Spoken);1;Words derived from Sinitic cha;30;91;Bodic;Sino-Tibetan;Lexicon
tiw;Tiwi;3;Others;-11.5;131;Tiwian;Tiwian;Lexicon
tsw;Tswana;2;Words derived from Min Nan Chinese te;-24;26;Bantu;Niger-Congo;Lexicon
tun;Tunica;3;Others;32.66666667;-91;Tunica;Tunica;Lexicon
tur;Turkish;1;Words derived from Sinitic cha;39;35;Turkic;Altaic;Lexicon
tkm;Turkmen;1;Words derived from Sinitic cha;40;58;Turkic;Altaic;Lexicon
tuv;Tuvan;1;Words derived from Sinitic cha;52;95;Turkic;Altaic;Lexicon
udm;Udmurt;1;Words derived from Sinitic cha;57.5;52.5;Permic;Uralic;Lexicon
ukr;Ukrainian;1;Words derived from Sinitic cha;49;33;Slavic;Indo-European;Lexicon
uyg;Uyghur;1;Words derived from Sinitic cha;40;80;Turkic;Altaic;Lexicon
uzb;Uzbek;1;Words derived from Sinitic cha;39;66;Turkic;Altaic;Lexicon
vie;Vietnamese;1;Words derived from Sinitic cha;10.5;106.5;Vietic;Austro-Asiatic;Lexicon
wam;Wambaya;3;Others;-18.66666667;135.75;Wambayan;Mirndi;Lexicon
wel;Welsh;2;Words derived from Min Nan Chinese te;52;-3;Celtic;Indo-European;Lexicon
wlo;Wolio;2;Words derived from Min Nan Chinese te;-5.5;122.75;Celebic;Austronesian;Lexicon
wlf;Wolof;3;Others;15.25;-16;Wolof;Niger-Congo;Lexicon
xho;Xhosa;2;Words derived from Min Nan Chinese te;-32;27;Bantu;Niger-Congo;Lexicon
ykt;Yakut;1;Words derived from Sinitic cha;62;130;Turkic;Altaic;Lexicon
yms;Yemsa;1;Words derived from Sinitic cha;7.833333333;37.33333333;Ta-Ne-Omotic;Afro-Asiatic;Lexicon
yor;Yoruba;2;Words derived from Min Nan Chinese te;8;4.333333333;Defoid;Niger-Congo;Lexicon
ypk;Yup'ik (Central);1;Words derived from Sinitic cha;59.5;-160;Eskimo;Eskimo-Aleut;Lexicon
zar;Zarma;3;Others;13.83333333;2.166666667;Songhay;Songhay;Lexicon
zqc;Zoque (Copainalá);3;Others;17;-93.25;Mixe-Zoque;Mixe-Zoque;Lexicon
zul;Zulu;3;Others;-30;30;Bantu;Niger-Congo;Lexicon
