"ID";"Regions";"Periods";"NumberOfOrganisations_1";"TheatreHalls_2";"StadiumsAndMultiPurposeHalls_3";"InTheatreHalls_4";"InStadiumsAndMultiPurposeHalls_5";"TotalPerformances_6";"TheatrePerformances_7";"MusicalPerformances_8";"DancePerformances_9";"MusicTheatrePerformances_10";"CabaretPerformances_11";"OtherPerformances_12";"TotalAttendance_13";"TheatrePerformances_14";"MusicalPerformances_15";"DancePerformances_16";"MusicTheatrePerformances_17";"CabaretPerformances_18";"AttendanceOtherPerformances_19"
"142";"PV20   ";"2016JJ00";"      10";"      18";"       4";"   11053";"       .";"    1595";"     369";"     779";"      54";"     109";"     218";"      66";"     574";"      91";"     306";"      28";"       .";"      78";"      11"
"143";"PV20   ";"2017JJ00";"      10";"      17";"       3";"   12563";"       .";"    1614";"     389";"     801";"      43";"     106";"     210";"      64";"     544";"      74";"     309";"      14";"      55";"      77";"      15"
"144";"PV20   ";"2018JJ00";"      10";"      15";"       5";"    7888";"       .";"    1799";"     481";"     834";"      41";"     165";"     192";"      86";"     663";"      86";"     356";"      16";"     102";"      79";"      24"
"145";"PV20   ";"2019JJ00";"      10";"      15";"       5";"    7888";"       .";"    1915";"     598";"     751";"      40";"     204";"     217";"     105";"     616";"     102";"     283";"      14";"     105";"      91";"      21"
"146";"PV20   ";"2020JJ00";"      11";"      17";"       5";"    8243";"       .";"     960";"     263";"     331";"      46";"     100";"     121";"      99";"     211";"      42";"      97";"       8";"      28";"      27";"       9"
"147";"PV20   ";"2021JJ00";"      11";"      19";"       2";"   12068";"     200";"     902";"     179";"     333";"      36";"     102";"      90";"     162";"     162";"      28";"      79";"       4";"      22";"      18";"      11"
"148";"PV20   ";"2022JJ00";"      11";"      20";"       5";"   13051";"       .";"    1893";"     298";"     809";"      94";"     134";"     167";"     391";"     507";"      36";"     291";"      29";"      53";"      66";"      32"
"149";"PV20   ";"2023JJ00";"      11";"      20";"       .";"   13068";"       .";"    1809";"     334";"     968";"      99";"     121";"     189";"      98";"     605";"      51";"     350";"      37";"      70";"      73";"      24"
"150";"PV21   ";"1999JJ00";"       8";"      12";"       1";"    5692";"     200";"     773";"     236";"     238";"      47";"      74";"     160";"      18";"     268";"      54";"      90";"      15";"      44";"      59";"       6"
"151";"PV21   ";"2000JJ00";"       8";"      12";"       1";"    5692";"     200";"     851";"     216";"     277";"      41";"      63";"     176";"      78";"     260";"      50";"      79";"      12";"      44";"      59";"      16"
"152";"PV21   ";"2001JJ00";"       8";"      12";"       1";"    5692";"     200";"     949";"     226";"     301";"      53";"     116";"     188";"      65";"     334";"      66";"     107";"      17";"      55";"      67";"      23"
"153";"PV21   ";"2002JJ00";"       8";"      12";"       1";"    5692";"     200";"    1015";"     305";"     276";"      55";"     107";"     214";"      58";"     333";"      68";"     101";"      12";"      60";"      75";"      17"
"154";"PV21   ";"2003JJ00";"       7";"      11";"       .";"    5017";"       .";"     934";"     227";"     223";"      48";"      86";"     188";"     161";"     331";"      59";"      87";"      12";"      47";"      84";"      43"
"155";"PV21   ";"2004JJ00";"       7";"      11";"       .";"    4937";"       .";"     860";"     264";"     217";"      62";"     106";"     157";"      54";"     296";"      61";"      83";"      19";"      56";"      60";"      16"
"156";"PV21   ";"2005JJ00";"      10";"      16";"       1";"    6997";"    1000";"    1236";"     320";"     421";"      87";"     124";"     218";"      65";"     398";"      62";"     144";"      19";"      64";"      90";"      19"
"157";"PV21   ";"2006JJ00";"      10";"      16";"       2";"    6879";"    1560";"    1237";"     317";"     388";"      69";"      92";"     207";"     164";"     325";"      58";"     105";"      16";"      47";"      67";"      31"
