movie,movieLabel,narrative_location,narrative_locationLabel,lng,lat,genreLabel
http://www.wikidata.org/entity/Q970386,Io sto con gli ippopotami,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q996995,Shout at the Devil,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q1012216,Gorillas in the Mist,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1114432,The Four Feathers,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1115270,The Cruelest Day,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1122534,Mogambo,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1135079,Roar,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1142707,Trader Horn,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q1198096,The Wind and the Lion,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q1199280,The Little Prince,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,fantasy film
http://www.wikidata.org/entity/Q1213524,The Dogs of War,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1213524,The Dogs of War,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q1257031,Beau Geste,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1423573,White Hunter Black Heart,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1423573,White Hunter Black Heart,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q1471671,King Solomon's Mines,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q1508203,Sounds of Sand,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1542674,Allan Quatermain and the Lost City of Gold,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,fantasy film
http://www.wikidata.org/entity/Q1542674,Allan Quatermain and the Lost City of Gold,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q1573413,Sahara,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1607103,The Phantom,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q1607136,Tarzan and the Lost Safari,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q1614501,She,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,fantasy film
http://www.wikidata.org/entity/Q1634738,Black and White in Color,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1740831,Kickboxer 5,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q1918945,Time to Kill,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q1988100,West of Zanzibar,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q7491916,She,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,fantasy film
http://www.wikidata.org/entity/Q7560652,Son of Man,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q7620158,Storm Over the Nile,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q7642352,Super Fly T.N.T.,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q7739209,The Heart of the Matter,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q7739590,The High Command,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q10360326,Rhino!,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q12124611,The Good Lie,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q12125988,Mamba,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q13183536,King Solomon's Treasure,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q13423801,The White Man's Law,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q14595113,Young Ones,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
